date,hashtag,mentions,estimated_reach,sentiment_score,top_country
2024-07-29,#Hiking,69206,387994,-0.46,India
2024-12-15,#5G,196662,438654,0.22,Egypt
2025-05-12,#AIArt,138860,292512,0.29,UK
2024-12-23,#Finance,155042,431201,0.31,France
2024-06-17,#IoT,106462,320998,-0.76,Australia
2024-10-24,#Crypto,105142,546865,-0.86,Spain
2025-03-27,#Entrepreneur,7013,30665,-0.15,Germany
2025-04-21,#Elections2025,8807,33774,0.99,Brazil
2024-10-15,#Productivity,37034,159575,0.77,Egypt
2025-04-07,#Adventure,101812,558222,0.88,Italy
2025-05-19,#DeepLearning,110451,340479,0.22,UK
2025-01-31,#Stocks,129078,636369,-0.84,Germany
2024-06-30,#Education,55675,236914,-0.13,Nigeria
2024-09-18,#BigData,58256,198537,0.5,Japan
2025-04-25,#Investing,188560,650719,0.41,Spain
2025-05-11,#History,145968,512453,-0.75,Italy
2024-11-16,#DeepLearning,87267,418465,-0.16,Canada
2025-02-19,#5G,194536,373052,-0.4,France
2025-04-02,#Fashion,92295,168874,-0.13,Turkey
2025-05-26,#Oscars,182394,1024121,-0.4,Spain
2024-08-26,#BreakingNews,23861,100346,-0.83,Nigeria
2025-04-14,#SelfCare,15809,67289,-0.79,Russia
2024-09-07,#IoT,127683,448216,0.65,Canada
2024-10-12,#WorldCup,106734,242369,-0.18,Italy
2024-10-21,#Health,113080,180139,-0.57,Brazil
2024-07-05,#Adventure,3088,17397,0.57,Spain
2024-06-25,#Photography,173083,957218,0.48,Australia
2024-09-10,#TravelTuesday,88500,411722,0.08,Indonesia
2025-01-17,#FoodPorn,88535,149548,0.51,Germany
2025-02-03,#DeepLearning,77680,204541,-0.12,Russia
2024-10-05,#SpaceX,135419,618306,0.88,USA
2024-12-07,#TechNews,191180,573835,-0.54,Spain
2025-01-22,#MusicMonday,103926,404865,-0.8,China
2025-02-20,#Productivity,127804,763427,0.12,South Korea
2024-08-25,#Foodie,142260,851025,-0.07,Russia
2024-12-07,#MentalHealth,188573,1066517,-0.89,China
2025-04-03,#MusicMonday,118855,652477,0.04,South Africa
2024-08-09,#Crypto,191362,461791,0.31,Brazil
2024-12-10,#SelfCare,46801,166912,-0.33,Australia
2025-05-24,#Cloud,22634,52580,-0.85,Germany
2025-02-27,#FitnessGoals,123381,692611,-0.06,France
2025-03-30,#Sustainability,2221,5279,-0.33,China
2024-08-04,#Education,150921,420854,-0.45,Egypt
2024-07-21,#FoodPorn,102419,307231,-0.32,Italy
2025-03-26,#Hiking,179594,845685,-0.41,USA
2025-02-24,#5G,134828,668334,0.49,UK
2024-09-21,#Art,126677,758225,0.01,Canada
2024-11-01,#FitnessGoals,20763,112540,0.84,South Korea
2024-11-27,#5G,23145,80862,-0.45,Turkey
2024-06-15,#Innovation,70002,311603,0.81,South Africa
2024-10-02,#Gaming,57768,89484,0.3,China
2025-03-30,#Photography,88478,308125,0.24,South Africa
2025-02-22,#Analytics,71127,228578,0.44,India
2024-11-27,#ViralVideo,155831,741608,-0.19,Brazil
2024-10-06,#WorldCup,110752,654552,-0.72,Indonesia
2025-05-18,#Health,105985,635870,0.94,USA
2024-12-12,#Nature,157969,514172,-0.57,Turkey
2024-06-10,#AIArt,93883,285168,-0.82,Egypt
2024-07-28,#Movies,60369,160860,-0.21,South Africa
2024-10-15,#Books,115242,293392,0.48,Spain
2024-07-25,#TravelTuesday,143056,539282,0.87,USA
2024-12-06,#Startup,53633,226427,-0.47,Egypt
2025-04-14,#Science,76522,352642,0.78,Japan
2025-04-08,#ViralVideo,173731,399929,-0.84,Australia
2024-07-30,#IoT,96924,464500,0.41,Japan
2025-03-05,#SelfCare,97249,474887,-0.76,Australia
2024-12-16,#Fashion,67892,170490,-0.32,UK
2024-06-11,#Science,45409,92711,0.47,Egypt
2025-01-12,#FitnessGoals,54521,247042,0.69,South Korea
2024-08-19,#Education,57316,343305,-1.0,Germany
2025-05-04,#Crypto,99497,311370,0.43,USA
2025-05-17,#Finance,79546,284903,0.57,France
2025-04-11,#Adventure,16758,58899,-0.61,UK
2024-11-01,#AIArt,59069,90824,-0.92,Russia
2025-04-06,#Nature,190229,370091,-0.8,Mexico
2024-06-20,#ViralVideo,87789,189108,0.85,UK
2024-10-09,#MentalHealth,6696,14624,0.18,Brazil
2025-04-21,#EcoFriendly,137019,213564,0.76,India
2024-09-03,#Robotics,12705,21193,-0.24,Nigeria
2024-07-26,#Foodie,96604,202332,0.84,UK
2024-06-29,#Cloud,78961,127198,-0.09,UK
2025-02-05,#Oscars,107738,511515,-0.46,Spain
2024-07-15,#AIArt,27684,97702,-0.41,Spain
2025-02-09,#CyberSecurity,184616,1031150,0.52,India
2024-09-26,#Education,85234,417255,-0.58,Germany
2025-01-18,#ViralVideo,8298,37907,-0.28,Japan
2024-09-17,#SpaceX,183736,944421,-0.05,Indonesia
2024-07-06,#Robotics,125441,338630,0.93,Mexico
2024-08-21,#Cloud,98933,153249,0.84,Mexico
2025-03-12,#ViralVideo,11496,46462,0.94,China
2024-11-29,#SelfCare,45608,77372,0.58,Canada
2025-03-11,#Elections2025,38316,105505,-0.6,Nigeria
2024-11-10,#SpaceX,84520,336511,0.95,Italy
2025-03-01,#RemoteWork,198782,821352,0.39,South Korea
2025-04-19,#SpaceX,127016,642837,-0.81,Australia
2025-02-12,#Travel,163545,539554,-0.04,Canada
2025-05-11,#Health,185703,499305,-0.92,Canada
2024-12-23,#BreakingNews,118859,263806,0.84,Turkey
2024-07-18,#MachineLearning,158483,710254,-0.15,Japan
2024-10-11,#Gaming,42871,177934,-0.65,Russia
2024-10-25,#Nature,101547,505908,0.66,UK
2024-12-09,#5G,154062,700474,0.38,USA
2025-01-27,#Motivation,94403,490461,0.01,Germany
2024-11-19,#FitnessGoals,174979,342315,-0.03,Japan
2025-01-25,#WorldCup,80540,474439,-0.04,South Africa
2024-08-30,#Science,171542,336639,-0.99,Egypt
2025-04-06,#Photography,35653,174872,-0.39,Nigeria
2024-11-03,#MachineLearning,25347,95368,0.48,Brazil
2024-07-29,#TravelTuesday,184961,831068,0.09,Mexico
2024-08-02,#Innovation,158671,715223,-0.7,China
2024-10-22,#Startup,109320,218252,-0.49,Turkey
2024-12-01,#Travel,109787,223680,0.73,Spain
2024-06-11,#AI,61267,359783,0.75,Germany
2024-12-29,#Science,197199,895136,-0.83,Brazil
2025-03-26,#Analytics,71210,370338,-0.27,Mexico
2024-11-22,#Productivity,105280,489847,-0.18,Brazil
2025-02-17,#Cloud,56497,262472,0.3,Mexico
2025-01-25,#Finance,136068,404722,0.16,South Africa
2024-10-02,#AI,128333,269542,0.2,Russia
2024-11-13,#Crypto,62640,222420,-0.76,Mexico
2024-07-16,#Gaming,180625,275654,-0.27,Brazil
2024-07-01,#Photography,98538,148616,0.1,Canada
2024-10-06,#MusicMonday,78235,164635,0.62,Italy
2024-06-18,#MusicMonday,73264,338870,-0.49,Germany
2025-05-02,#EcoFriendly,124135,213618,0.39,Japan
2025-05-10,#Adventure,70412,381328,0.97,Russia
2024-11-14,#WorldCup,79551,321259,0.71,China
2024-09-24,#History,112230,466947,-0.94,South Korea
2024-08-06,#AIArt,24403,61225,-0.69,Egypt
2024-08-17,#MachineLearning,60713,169765,0.17,Nigeria
2024-11-09,#Photography,57270,341773,0.2,Germany
2024-12-25,#Foodie,134627,730337,-0.94,Spain
2024-09-08,#Motivation,52226,272383,-0.63,India
2024-07-06,#Crypto,170503,782137,0.08,Russia
2024-06-28,#BigData,140445,328595,0.8,South Africa
2024-11-18,#Robotics,58673,132313,0.71,UK
2025-05-26,#WorldCup,99976,386730,0.17,France
2024-10-22,#SpaceX,26346,102728,0.96,Italy
2024-09-30,#History,96050,426990,-0.4,Nigeria
2024-11-01,#SpaceX,191188,762213,-0.09,Germany
2024-12-25,#ClimateChange,40067,185160,-0.6,Turkey
2025-04-09,#Art,14745,28632,0.36,Turkey
2024-11-05,#EcoFriendly,86543,431939,-0.77,Japan
2025-04-23,#SpaceX,59802,299246,0.16,Turkey
2024-12-08,#Oscars,40048,144559,0.01,USA
2024-09-30,#5G,162810,920439,0.7,India
2024-12-13,#Entrepreneur,94613,259633,-0.69,India
2025-02-17,#RemoteWork,95887,261903,0.42,Japan
2025-02-12,#Python,41508,152276,0.26,India
2024-12-28,#Coding,128959,537617,0.01,Nigeria
2025-01-29,#Finance,103711,359518,0.76,UK
2025-04-11,#Art,75675,449467,0.26,Mexico
2025-01-03,#Books,14007,41398,0.66,Mexico
2024-10-05,#Sustainability,79995,196407,-0.3,Egypt
2024-06-25,#Books,3756,13654,0.61,India
2024-12-22,#Fashion,135490,706168,-0.14,Italy
2024-10-28,#FitnessGoals,86072,319467,-0.21,Italy
2024-08-26,#Startup,96438,297406,0.73,Indonesia
2024-12-18,#Oscars,75027,345197,-0.37,Mexico
2025-05-22,#Travel,79049,316612,-0.25,Turkey
2024-11-13,#Travel,63372,226805,0.14,South Africa
2024-05-31,#Sustainability,163300,424352,-0.75,Canada
2025-03-13,#5G,197259,333860,-0.84,Brazil
2025-04-12,#Innovation,46774,276835,-0.52,Egypt
2024-11-21,#Adventure,36844,81428,-0.86,South Africa
2024-10-30,#Coding,179090,274145,0.22,Russia
2024-07-17,#Cloud,112261,269137,0.62,Indonesia
2024-10-07,#FitnessGoals,28699,121202,0.83,Egypt
2025-05-08,#Fashion,53614,305390,0.92,Egypt
2025-04-28,#AIArt,83252,200395,-0.84,Italy
2024-09-09,#Vegan,63897,187006,-0.67,Australia
2024-11-10,#Entrepreneur,162036,865407,-0.59,South Africa
2024-09-01,#TechNews,8309,44516,0.89,Mexico
2024-11-26,#Blockchain,75613,155788,0.61,India
2024-07-26,#Analytics,17476,57184,-0.3,USA
2024-08-03,#FoodPorn,102028,156672,-0.97,Egypt
2024-12-28,#Motivation,152165,584604,-0.59,Japan
2025-05-10,#Travel,186757,416209,0.38,Nigeria
2024-08-02,#EcoFriendly,101129,526102,0.37,South Africa
2024-10-21,#EcoFriendly,88025,255607,-0.92,South Korea
2025-03-26,#WorldCup,23739,77862,-0.54,Canada
2024-09-27,#Art,154282,419567,0.51,Mexico
2024-06-21,#Investing,54834,150347,0.14,Japan
2025-02-04,#MetGala,41043,100637,-0.61,Brazil
2025-02-07,#SelfCare,21527,49976,-0.99,South Africa
2025-01-15,#MetGala,197165,399388,0.43,Australia
2025-03-16,#BreakingNews,88156,344081,-0.78,UK
2024-06-05,#AI,31900,104084,-0.43,USA
2025-03-29,#Productivity,57530,181610,-0.02,Russia
2025-04-28,#Stocks,138063,295072,0.74,Egypt
2025-04-22,#CyberSecurity,111606,652976,0.09,Australia
2025-01-18,#FitnessGoals,38284,139952,-0.81,Brazil
2024-11-07,#Coding,183684,506234,-0.26,Turkey
2025-03-06,#DeepLearning,140256,288023,0.48,Nigeria
2025-02-26,#CyberSecurity,16714,95839,0.58,South Korea
2025-03-10,#Travel,49000,269021,-0.45,Italy
2024-08-17,#DeepLearning,62480,159479,-0.69,France
2024-12-08,#Foodie,162100,280388,-0.66,Brazil
2025-05-07,#AIArt,28747,46521,0.38,UK
2024-09-13,#SmartCity,121486,344074,-0.41,Canada
2025-03-14,#Entrepreneur,197989,376854,-0.46,France
2024-10-07,#Fashion,177328,1041924,0.34,Mexico
2025-05-01,#Stocks,11743,40234,-0.64,India
2024-07-05,#SpaceX,185235,681916,-0.86,Italy
2024-11-03,#Entrepreneur,56137,307458,-0.64,India
2025-02-12,#Health,147816,416874,0.68,UK
2024-08-31,#EcoFriendly,99939,154305,-0.82,Russia
2024-12-30,#Entrepreneur,104734,183581,-0.84,Nigeria
2025-04-23,#FoodPorn,134764,406884,-0.76,Germany
2024-07-15,#MusicMonday,93122,338759,0.01,China
2025-02-14,#ViralVideo,102609,358460,-0.93,Spain
2025-03-10,#Oscars,8158,32011,0.7,Italy
2024-10-21,#Books,140841,591396,-0.94,Japan
2024-08-02,#AIArt,43511,146764,0.35,Italy
2024-06-01,#MusicMonday,54737,126595,-0.49,Australia
2024-10-06,#WorldCup,80803,181359,-0.09,South Korea
2024-06-09,#Travel,117943,695956,-0.37,Russia
2025-02-19,#Adventure,56283,112866,-0.45,USA
2024-12-30,#IoT,155659,817151,0.94,South Korea
2024-11-23,#TravelTuesday,41860,202789,0.49,South Africa
2024-06-20,#ViralVideo,59862,256851,-0.08,South Africa
2024-12-11,#ViralVideo,76814,249746,-0.5,Mexico
2024-05-28,#SpaceX,76345,262136,0.4,USA
2024-10-03,#Crypto,58149,130118,0.81,Spain
2024-07-19,#DataScience,159138,339109,0.97,Japan
2025-02-06,#Education,186269,1055334,0.21,Australia
2024-12-26,#Oscars,139384,621448,0.64,India
2024-06-12,#Crypto,192565,701778,-0.71,Nigeria
2025-04-16,#Investing,6722,33329,-0.57,Spain
2025-03-06,#Gaming,98186,436829,0.46,Italy
2024-12-18,#MetGala,92979,280062,0.08,Egypt
2025-03-09,#SelfCare,46541,77675,-0.94,India
2025-02-13,#Adventure,5064,7842,0.37,Canada
2024-08-10,#Nature,35986,69128,-0.45,Germany
2024-11-06,#Blockchain,168025,893454,0.95,USA
2024-06-06,#AIArt,60068,130920,-0.02,Indonesia
2024-10-14,#Innovation,181646,651263,0.39,USA
2024-10-13,#NFT,155063,921832,0.8,Egypt
2025-04-03,#SpaceX,92413,411013,0.75,South Africa
2025-01-26,#Sustainability,48268,196289,-0.86,Turkey
2025-01-09,#DataScience,178080,330269,-0.97,France
2025-02-20,#Movies,166625,969373,0.77,USA
2025-03-29,#Photography,76480,437027,0.81,South Korea
2025-05-15,#Analytics,155710,625303,-0.53,Russia
2025-01-31,#Vegan,118091,305481,-0.17,Spain
2025-02-17,#NFT,68047,406125,0.46,USA
2024-10-09,#Cloud,62286,333213,-0.13,Mexico
2024-12-05,#Nature,78787,292908,0.28,USA
2024-07-25,#MachineLearning,27427,102997,0.96,UK
2024-07-20,#AI,12299,23871,0.22,Egypt
2024-06-14,#Blockchain,51617,270116,-0.28,Japan
2024-08-23,#Travel,187626,828319,0.71,Indonesia
2024-09-05,#Coding,151929,551710,-0.02,Russia
2025-02-11,#Gaming,116215,415372,-0.61,Russia
2025-05-17,#MachineLearning,62305,341861,-0.24,USA
2024-10-19,#5G,114120,439549,-0.25,South Korea
2024-08-15,#Health,133672,238157,0.83,Germany
2024-12-04,#Coding,43643,109240,-0.65,Canada
2025-03-14,#5G,169693,472582,0.34,USA
2024-06-28,#MetGala,110436,401301,0.04,France
2025-02-15,#SelfCare,147518,523180,-0.56,Italy
2024-10-31,#Stocks,86213,443087,-0.57,Spain
2025-02-15,#EcoFriendly,128875,242134,-0.96,Russia
2024-09-13,#SmartCity,133341,360993,-0.35,UK
2024-08-10,#CyberSecurity,63281,143121,0.48,UK
2025-01-05,#Crypto,136952,262777,0.01,Brazil
2025-03-04,#ClimateChange,49128,115877,-0.63,China
2024-10-06,#Innovation,24149,96935,-0.29,Brazil
2024-12-27,#NFT,146878,829482,-0.28,France
2024-10-03,#Blockchain,109278,465544,0.27,UK
2024-11-21,#AIArt,105797,579460,0.32,Turkey
2025-01-15,#AI,173394,907412,-0.08,Japan
2024-06-30,#History,82885,454400,-0.85,Spain
2024-08-17,#SmartCity,70586,393427,0.32,South Africa
2025-04-22,#Science,156880,870836,0.03,Brazil
2024-10-23,#Cloud,101168,478030,0.85,Australia
2025-03-25,#Books,86976,438364,0.73,India
2024-07-26,#Robotics,191828,1037950,-0.04,Mexico
2025-04-30,#Cloud,99000,485545,0.44,Japan
2025-04-03,#DeepLearning,129182,505597,0.26,Russia
2024-08-08,#Cloud,30199,150800,-0.33,Australia
2024-11-06,#NFT,40342,69573,0.58,Turkey
2025-03-09,#Art,62240,340243,0.34,China
2024-11-15,#DeepLearning,192027,870470,0.44,Russia
2024-07-12,#Travel,176377,607360,-0.44,South Africa
2025-02-10,#ClimateChange,141731,777333,0.51,Indonesia
2024-08-21,#EcoFriendly,33649,159220,-0.08,Australia
2024-07-16,#Cloud,144742,863518,-0.64,UK
2025-01-04,#Robotics,79576,235283,-0.91,South Africa
2024-12-14,#WorldCup,133836,724382,0.2,South Africa
2025-05-19,#Fashion,82946,451014,0.04,Italy
2025-05-13,#Health,135625,768327,0.02,Canada
2024-07-20,#Health,170964,886240,0.0,Russia
2025-04-17,#Sustainability,20696,74646,0.71,Spain
2024-10-12,#TechNews,120996,234533,-0.42,Italy
2025-03-30,#Gaming,45333,266451,0.36,Japan
2024-08-25,#Crypto,177518,723123,0.55,Egypt
2025-03-19,#Elections2025,170738,336144,0.74,Mexico
2024-12-04,#MentalHealth,143721,420876,-0.7,Egypt
2024-06-07,#NFT,187383,1058091,0.04,India
2025-03-11,#Stocks,167990,425123,-0.41,Canada
2025-03-03,#Investing,123708,713944,0.13,China
2024-10-02,#DeepLearning,80575,214807,-0.47,USA
2024-09-10,#Gaming,168445,875355,0.68,Brazil
2025-05-16,#MachineLearning,66909,267708,-0.12,UK
2024-10-16,#TravelTuesday,134162,522484,-0.19,UK
2024-08-18,#AI,185991,302535,-0.39,Japan
2025-04-08,#IoT,7035,24099,0.95,Mexico
2024-11-21,#Oscars,25359,38082,-0.78,Mexico
2025-02-01,#RemoteWork,163665,633342,0.38,Spain
2024-10-13,#AI,1742,8984,0.75,Indonesia
2025-01-13,#5G,193962,375342,-0.83,Spain
2025-05-15,#Fashion,18537,42026,0.42,Australia
2025-03-12,#Education,101073,588432,0.3,Mexico
2025-02-08,#Education,175841,340314,0.18,Turkey
2025-01-22,#EcoFriendly,192672,781079,0.81,Turkey
2025-05-20,#Adventure,100778,463186,-0.17,South Korea
2025-01-27,#Science,99927,342303,-0.67,Mexico
2024-10-27,#Fashion,86913,141532,0.97,Brazil
2025-03-01,#SpaceX,41987,143569,0.13,USA
2024-11-21,#Investing,118597,187333,-0.74,Mexico
2024-09-16,#WorldCup,55262,109980,-0.69,Nigeria
2025-04-27,#CyberSecurity,11038,55542,-0.27,Indonesia
2024-07-14,#Finance,121080,468460,0.79,Japan
2024-06-11,#BreakingNews,27625,116640,-0.17,Russia
2024-11-19,#FoodPorn,5391,17222,0.34,Nigeria
2024-08-22,#Movies,70303,328797,0.31,South Korea
2024-07-12,#MachineLearning,144532,373928,-0.89,Spain
2025-03-13,#Politics,135269,420896,0.89,Australia
2025-03-13,#Innovation,56215,208598,-0.23,France
2024-09-13,#Python,110215,365854,0.03,South Africa
2025-02-23,#Elections2025,35938,205003,-0.98,Canada
2024-07-14,#Movies,172828,670478,-0.84,China
2024-08-14,#MentalHealth,62874,144897,0.76,Russia
2024-06-13,#Finance,156924,286540,0.19,Japan
2024-10-20,#Travel,158229,757545,0.24,Spain
2024-11-22,#Blockchain,103844,273478,-0.97,Germany
2024-06-17,#Fashion,65852,260980,0.17,Egypt
2025-03-31,#TechNews,99233,234448,0.1,USA
2025-05-06,#Vegan,9959,28748,-0.63,India
2025-04-10,#Python,1095,3138,-0.11,Australia
2025-05-08,#DataScience,85925,412809,0.15,Mexico
2025-03-06,#Elections2025,100847,574691,-0.59,Brazil
2025-01-29,#CyberSecurity,181865,547858,0.07,USA
2024-11-26,#Foodie,2411,10269,-0.98,Egypt
2025-05-27,#BreakingNews,76377,324198,0.88,Japan
2024-11-20,#WorldCup,121183,465225,0.71,Nigeria
2025-03-25,#Science,144359,318432,-0.75,South Korea
2024-05-28,#Python,176978,566839,0.71,Nigeria
2025-05-02,#Cloud,41095,118407,-0.79,Australia
2024-06-23,#SpaceX,110515,295990,0.94,USA
2024-07-22,#Nature,52969,258778,0.0,Spain
2025-05-21,#CyberSecurity,47558,248572,0.07,Indonesia
2024-11-10,#Coding,19112,31497,0.53,Germany
2024-06-13,#Motivation,159389,300594,-0.04,India
2024-12-02,#Finance,187985,499142,0.42,Turkey
2025-04-19,#DataScience,175761,335710,0.2,USA
2024-11-06,#ClimateChange,154762,596340,0.05,India
2025-05-18,#Innovation,40044,231380,-0.47,Italy
2025-02-15,#Sustainability,114739,657878,0.44,USA
2024-12-05,#RemoteWork,153439,591053,0.31,India
2025-05-16,#SmartCity,177687,329806,0.56,Italy
2024-07-02,#Business,139920,439525,-0.01,Spain
2024-07-06,#TechNews,2731,14059,0.54,Spain
2024-11-26,#BigData,40770,242767,0.33,Russia
2024-09-28,#TechNews,1748,9787,-0.24,Egypt
2025-01-16,#Science,117974,481794,-0.45,South Africa
2025-05-14,#NFT,182096,291273,0.84,South Korea
2025-01-24,#TechNews,104244,339754,0.24,Russia
2024-07-14,#Adventure,97830,394021,0.84,France
2025-05-19,#MentalHealth,162437,269910,-0.57,India
2024-11-13,#Art,153342,359758,-0.16,South Korea
2024-08-12,#EcoFriendly,199114,523212,-0.58,Canada
2024-08-12,#SelfCare,80148,188989,0.82,South Africa
2024-11-29,#CyberSecurity,198982,447915,-0.6,China
2024-07-07,#Entrepreneur,53397,249073,0.1,Canada
2025-03-15,#Oscars,44649,249313,0.96,USA
2024-07-21,#BreakingNews,182888,917118,-0.57,China
2024-07-17,#TravelTuesday,80707,230392,0.74,Russia
2024-10-11,#MachineLearning,117433,628995,0.64,France
2024-09-03,#Science,158473,384003,-0.42,Nigeria
2025-04-16,#Photography,62828,111240,-0.48,South Korea
2024-11-30,#Vegan,106164,624874,-0.68,South Korea
2024-08-20,#Hiking,187501,830538,0.7,Canada
2024-07-21,#Cloud,116855,191519,0.12,South Africa
2024-12-17,#DataScience,164049,345093,-0.08,Turkey
2024-12-30,#TravelTuesday,17094,39603,-0.78,Egypt
2024-07-15,#MachineLearning,117648,349713,-0.61,Egypt
2025-02-01,#Health,75594,310905,0.06,Mexico
2025-01-17,#Crypto,155769,809523,0.41,Nigeria
2024-08-06,#RemoteWork,192146,984454,0.79,Canada
2025-04-06,#Fashion,189280,481180,0.36,Spain
2024-12-15,#IoT,151813,527588,-1.0,China
2024-10-12,#MusicMonday,18770,49177,0.45,Japan
2025-01-18,#Python,192909,476868,0.39,China
2024-12-20,#MachineLearning,147672,877021,0.61,France
2024-06-26,#MetGala,71567,158860,0.33,Germany
2025-02-21,#ViralVideo,72115,369661,0.59,Germany
2024-10-12,#RemoteWork,21505,42691,-0.83,Australia
2024-12-14,#TravelTuesday,136661,362870,-0.01,Japan
2025-01-28,#WorldCup,106017,614183,0.29,Nigeria
2024-11-15,#MentalHealth,150671,295558,0.37,UK
2024-09-11,#SpaceX,137730,532070,0.85,France
2025-04-27,#TechNews,26924,89016,-0.87,Spain
2025-04-14,#SpaceX,68286,116099,0.97,Spain
2024-12-24,#Politics,127822,457781,0.84,Indonesia
2024-06-09,#MentalHealth,9343,28995,0.81,UK
2025-03-24,#Health,127366,614363,-0.87,China
2024-08-04,#Motivation,188263,694565,0.88,Mexico
2025-04-17,#Startup,73474,267832,0.05,Germany
2024-09-09,#Python,177292,417129,0.59,Brazil
2024-07-31,#Oscars,38692,178185,0.25,USA
2024-11-24,#Startup,104820,298937,-0.17,Egypt
2025-03-19,#Nature,115022,195986,-0.98,Canada
2024-10-02,#CyberSecurity,35986,172703,-0.43,Nigeria
2024-10-19,#Education,154615,703438,0.33,Italy
2024-10-26,#CyberSecurity,60081,191012,0.89,Indonesia
2025-03-28,#Robotics,53253,194546,0.84,Italy
2025-01-03,#Startup,184916,904398,0.29,Nigeria
2025-03-15,#TravelTuesday,76710,291295,-0.74,Mexico
2024-10-30,#MentalHealth,114927,512076,0.4,Italy
2025-02-14,#Politics,169634,347570,0.6,Brazil
